Sepal length,Sepal width,Petal length,Petal width,Species
5.1,3.5,1.4,0.2,I.Êsetosa
4.9,3,1.4,0.2,I.Êsetosa
4.7,3.2,1.3,0.2,I.Êsetosa
4.6,3.1,1.5,0.2,I.Êsetosa
5,3.6,1.4,0.2,I.Êsetosa
5.4,3.9,1.7,0.4,I.Êsetosa
4.6,3.4,1.4,0.3,I.Êsetosa
5,3.4,1.5,0.2,I.Êsetosa
4.4,2.9,1.4,0.2,I.Êsetosa
4.9,3.1,1.5,0.1,I.Êsetosa
5.4,3.7,1.5,0.2,I.Êsetosa
4.8,3.4,1.6,0.2,I.Êsetosa
4.8,3,1.4,0.1,I.Êsetosa
4.3,3,1.1,0.1,I.Êsetosa
5.8,4,1.2,0.2,I.Êsetosa
5.7,4.4,1.5,0.4,I.Êsetosa
5.4,3.9,1.3,0.4,I.Êsetosa
5.1,3.5,1.4,0.3,I.Êsetosa
5.7,3.8,1.7,0.3,I.Êsetosa
5.1,3.8,1.5,0.3,I.Êsetosa
5.4,3.4,1.7,0.2,I.Êsetosa
5.1,3.7,1.5,0.4,I.Êsetosa
4.6,3.6,1,0.2,I.Êsetosa
5.1,3.3,1.7,0.5,I.Êsetosa
4.8,3.4,1.9,0.2,I.Êsetosa
5,3,1.6,0.2,I.Êsetosa
5,3.4,1.6,0.4,I.Êsetosa
5.2,3.5,1.5,0.2,I.Êsetosa
5.2,3.4,1.4,0.2,I.Êsetosa
4.7,3.2,1.6,0.2,I.Êsetosa
4.8,3.1,1.6,0.2,I.Êsetosa
5.4,3.4,1.5,0.4,I.Êsetosa
5.2,4.1,1.5,0.1,I.Êsetosa
5.5,4.2,1.4,0.2,I.Êsetosa
4.9,3.1,1.5,0.2,I.Êsetosa
5,3.2,1.2,0.2,I.Êsetosa
5.5,3.5,1.3,0.2,I.Êsetosa
4.9,3.6,1.4,0.1,I.Êsetosa
4.4,3,1.3,0.2,I.Êsetosa
5.1,3.4,1.5,0.2,I.Êsetosa
5,3.5,1.3,0.3,I.Êsetosa
4.5,2.3,1.3,0.3,I.Êsetosa
4.4,3.2,1.3,0.2,I.Êsetosa
5,3.5,1.6,0.6,I.Êsetosa
5.1,3.8,1.9,0.4,I.Êsetosa
4.8,3,1.4,0.3,I.Êsetosa
5.1,3.8,1.6,0.2,I.Êsetosa
4.6,3.2,1.4,0.2,I.Êsetosa
5.3,3.7,1.5,0.2,I.Êsetosa
5,3.3,1.4,0.2,I.Êsetosa
7,3.2,4.7,1.4,I.Êversicolor
6.4,3.2,4.5,1.5,I.Êversicolor
6.9,3.1,4.9,1.5,I.Êversicolor
5.5,2.3,4,1.3,I.Êversicolor
6.5,2.8,4.6,1.5,I.Êversicolor
5.7,2.8,4.5,1.3,I.Êversicolor
6.3,3.3,4.7,1.6,I.Êversicolor
4.9,2.4,3.3,1,I.Êversicolor
6.6,2.9,4.6,1.3,I.Êversicolor
5.2,2.7,3.9,1.4,I.Êversicolor
5,2,3.5,1,I.Êversicolor
5.9,3,4.2,1.5,I.Êversicolor
6,2.2,4,1,I.Êversicolor
6.1,2.9,4.7,1.4,I.Êversicolor
5.6,2.9,3.6,1.3,I.Êversicolor
6.7,3.1,4.4,1.4,I.Êversicolor
5.6,3,4.5,1.5,I.Êversicolor
5.8,2.7,4.1,1,I.Êversicolor
6.2,2.2,4.5,1.5,I.Êversicolor
5.6,2.5,3.9,1.1,I.Êversicolor
5.9,3.2,4.8,1.8,I.Êversicolor
6.1,2.8,4,1.3,I.Êversicolor
6.3,2.5,4.9,1.5,I.Êversicolor
6.1,2.8,4.7,1.2,I.Êversicolor
6.4,2.9,4.3,1.3,I.Êversicolor
6.6,3,4.4,1.4,I.Êversicolor
6.8,2.8,4.8,1.4,I.Êversicolor
6.7,3,5,1.7,I.Êversicolor
6,2.9,4.5,1.5,I.Êversicolor
5.7,2.6,3.5,1,I.Êversicolor
5.5,2.4,3.8,1.1,I.Êversicolor
5.5,2.4,3.7,1,I.Êversicolor
5.8,2.7,3.9,1.2,I.Êversicolor
6,2.7,5.1,1.6,I.Êversicolor
5.4,3,4.5,1.5,I.Êversicolor
6,3.4,4.5,1.6,I.Êversicolor
6.7,3.1,4.7,1.5,I.Êversicolor
6.3,2.3,4.4,1.3,I.Êversicolor
5.6,3,4.1,1.3,I.Êversicolor
5.5,2.5,4,1.3,I.Êversicolor
5.5,2.6,4.4,1.2,I.Êversicolor
6.1,3,4.6,1.4,I.Êversicolor
5.8,2.6,4,1.2,I.Êversicolor
