id,Failure,Description,Title,Problem Code,Cause Code,Action Code
10715555,1,"Notification ID: 11686898
Eng Finding: ´ The primary reason for this outage is to replace 3LP cylinder valves.  All new valves will have Elgiloy springs installed.  It is required that these valves be stamped with the parts information from TF Hudgins as agreed, and recorded on the valve inspection sheets
´ 3LP valves will be replaced.
´ Operations to wash through suction KO drain and pulsation bottle drain lines until clean.
o Mechanical to support as needed.
´ Operations to wash through KO level bridles and instrument nozzles.
´ Instrumentation to repair/replace all bad order TIÍs after machinery work is complete.
´ 3HP Crosshead clearance inspection to determine possilble source of intermittent knock.",C-307 CONTAMINATION,3LP_3HP_VLV,CONTAM,REPAIR
10852907,1,"Notification ID: 12008438
Eng Finding: ´ The primary reason for this outage is to replace failed 2HP and 3LP valves.  Replace all 2HP and 3LP valves. All new valves will have Elgiloy springs installed.  It is required that these valves be stamped with the parts information from TF Hudgins as agreed, and recorded on the valve inspection sheets
o 2HP CE Discharge Valve Leak _ 11/26  5:00 am
o 3LP HE Discharge Valve Leak _ 12/14  9:30 pm  - DFW 1/5/2015
Found 3LP boot plugged with magnetic solids.  GC revealed 94.5% iron, 1.6% sulfur, 1.6% manganese with a few other trace metals.  - DFW 1/9/2015
2LP elemental analysis revealed 89% iron, 10%sulfur, 0.7% manganese. - DFW 1/9/2015
Suspect failure induced by rust in the system left during the major outage.  - DFW 3/18/2015",C-307 VALVE FAILED,3LP_VLV,LEAK,REPAIR
10871403,1,"Notification ID: 12048722
Eng Finding: Summary
´ Replace all 2LP valves.
´ Replace all 3LP valves.
´ Operations to wash through suction KO drain and pulsation bottle drain lines until clean.
´ Operations to wash through KO level bridles and instrument nozzles.
´ Instrumentation to repair/replace all bad order TIÍs after machinery work is complete.
´ Perform offline SCI checks that are due before T/A
Rev. 1 Additions
´ Repair/Replace 1LP top port valve unloader
Found 3LP suction bottle drain line plugged again.  2LP discharge valves had significant buildup.  Samples sent to lab again for further analysis.  - DFW 1/9/2015
Root cause associated with not purging compressor with N2 while it was down during 2014.  Rust blossoms from suction lines and bottles contaminated compressor valves.  MJL 4/24/2015
Ops Finding: C-308 was brought down proactively to repair valves showing signs of damage.  When the compressor was cleared and opened for maintenance, deposits were identified in the drains off the compressor suction bottle.  The amount of deposits required additional cleaning and line clearing before the compressor can be returned to service, extending the equipment downtime.  IMPACT 832970",C-307 VALVE FAILED,3LP_2LP_VLV,LEAK,REPAIR
10893583,1,"Notification ID: 12096312
Eng Finding:
´ The primary reason for this outage is to replace failed 3LP valves.  All 2HP and 3LP valves will be replaced.  All new valves will have Elgiloy springs installed.  It is required that these valves be stamped with the parts information from TF Hudgins as agreed, and recorded on the valve inspection sheets
Machinery
´ 3LP valves will be replaced.
´ 2HP valves will be replaced.
Instrumentation and Electrical
´ Replace 2HP West Xhead cable.
´ Instrumentation to repair/replace all bad order TIÍs after machinery work is complete.
Operations
´ Operations to wash through suction KO drain and pulsation bottle drain lines until clean.
o Mechanical to support as needed.
´ Operations to wash through KO level bridles and instrument nozzles.",C-307 VALVE FAILED,1HP_2HP_1LP_VLV,LEAK,REPLACE
10911051,1,"Notification ID: 12137146
Eng Finding:
´ The primary reason for this outage is to replace failed 3LP valves.  All 3LP valves will be replaced.  All new valves will have Elgiloy springs installed.  It is required that these valves be stamped with the parts information from TF Hudgins as agreed, and recorded on the valve inspection sheets
Machinery
´ 3LP valves will be replaced.
Instrumentation and Electrical
´ Instrumentation to repair/replace all bad order TIÍs after machinery work is complete.
Operations
´ Operations to wash through suction KO drain and pulsation bottle drain lines until clean.
o Mechanical to support as needed.
´ Operations to wash through KO level bridles and instrument nozzles.",C-307 VALVE FAILED,2LP_3LP_VLV,UNDETERMINED,REPLACE
10933740,1,"Notification ID: 12195240
Eng Findings: Scope Summary
Machinery
´ 3LP valves will be replaced.
´ Stroke unloaders to verify operation.
Instrumentation and Electrical
´ Replace 3HP pressure transducers on kiene valves.
´ Instrumentation to repair/replace all bad order TIÍs after machinery work is complete.
Operations
´ Operations to wash through suction KO drain and pulsation bottle drain lines until clean.
o Mechanical to support as needed.
´ Operations to wash through KO level bridles and instrument nozzles.",C-308 KO DRUM LOW LEVEL,3HP_KO,LEVEL,RESTART
11060637,1,"Notification ID: 12488470
Eng Finding: failed a 1HP discharge valve on 8/31 at noon. The compressor ran until 6 am on 9/01. The trip occurred during a trap blow down. The 3HP suction pressure dropped 60 psig to 962 psig. During that pressure drop, the 3HP xhead vibration spiked to above 3.4 gs. and the compressor tripped. The valve failure was caused by some incompressible hitting the discharge valve moppet.
Findings and adjustments:
massive 1HP dischagre valve leak. 1 HP valve are touching off on the liner. a larger gasket was installed to lift the valve off of the liner.
Sand was poured  below the 3 HP cross head as a test to dampen vibrations in the 3 HP crosshead. - PT 9/8/2015",C-308 MANUAL OUTAGE,2HP_3LP_VLV,CONTAM,REPLACE
11066683,1,"Notification ID: 12495504
Eng Findings: 3 LP failure caused by liquid production in the cylinder. PT - 9/8/2015
after mechanical work was completed the operators found the the lincoln lubricator failed. Instead of pulling one from the store house per the direction from the planner, The Bt waited 24 hours until C457 operation they robbed the lubricator off of C457. ",C-308 MANUAL OUTAGE,1LP_2LP_3LP_VLV,OPS,REPLACE
11107171,1,"Notification ID: 12599953
Eng Findings: C307 was shut down for the following:
- 3LP vlave leak, 3LP ring failure, and 2LP valve leak. All valves were replaced, and the whole piston rod assembly was replaced. The ring grooves on the piston are non standard so the whole assembly is replaced. We also drained and refilled the lbe oil reservoir because the Tan (total acid number) was high. this ultimatley was being caused by oxygen in the oil reservoir. We found the nitrogen purge off on all thre compressors. - PT 12/15/2015
The valves failed due to liquid condensing from the process gas. Engineering is working towards a solution involving heat tracing that will prevent the gas from condensing. There is currently a GMOC being progressed to install heat tracing on 3 LP suction pulsation bottle. We expect to realize the change in the coming months. 12/17/2015",C-308 TRIP HIGH VIBRATION,3HP,VIB,RESTART
11155725,1,"Notification ID: 12714825
Eng Findings: Compressor was shut down for 1hP, 2HP, and 1LP valve replacement. All of these valves ran more than 2 years. 2 HP initiated the repair when the valve body bolt came loose and floated into a valve port. The bolt held a moppet upen and mimicked a valve failure. 1 HP was also exhibiting a small leakage. 3HP PV looked like bad piston rings.
during the repair we pulled the piston on 3HP to replace the rings. the rings were in really good condition. There was little to no wear on the piston rings so the piston was reinstalled.
Delayed restart selected because during the reinstallation of the piston rod the crosshead started lifting. The Dresser crew lost maybe a shift trying to get the crosshead to sit down. Eventually we found anumber of burrs or nick marks on the leveling washer. I can only summize that these burrs were bending the rod when torque was applied. WE lapped the leveling washer and performed a blue contact check. blie contact was improved and the crosshead sat down after reinstallation. -PT 2/10/2016",C-308 TRIP DUE TO OPERATIONS,3HP,OPS,RESTART
